TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,36,Divorced,15.1%,14.0%,,16.1%,,15.2%,,13.3%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,36.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,36.5,FERTILITY,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,37,Number of women 15 to 50 years old who had a birth in the past 12 months,"2,131","1,148",,"1,737",,"2,161",,"2,426",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,38,"Unmarried women (widowed, divorced, and never married)",53.3%,37.5%,,66.9%,,49.8%,,49.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,39,"Per 1,000 unmarried women",26,9,,25,,23,,27,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,40,"Per 1,000 women 15 to 50 years old",34,17,*,24,,30,,33,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,41,"Per 1,000 women 15 to 19 years old",17,5,,20,,24,,18,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,42,"Per 1,000 women 20 to 34 years old",48,38,,43,,50,,72,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,43,"Per 1,000 women 35 to 50 years old",26,5,,11,,16,,4,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,43.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,43.5,GRANDPARENTS,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,44,Number of grandparents living with own grandchildren under 18 years,"7,692","5,133",*,"5,813",,"6,446",,"8,407",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,45,Grandparents responsible for grandchildren,21.1%,42.3%,*,24.4%,,33.9%,,44.4%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,45.9,Years responsible for grandchildren,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,46,Less than 1 year,1.5%,17.4%,*,0.0%,,2.7%,,17.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,47,1 or 2 years,9.6%,1.4%,*,6.4%,,8.5%,,6.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,48,3 or 4 years,5.9%,3.4%,,7.0%,,3.6%,,3.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,49,5 or more years,4.0%,20.1%,*,11.0%,,19.2%,*,16.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,49.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,50,Number of grandparents responsible for own grandchildren under 18 years,"1,621","2,171",,"1,418",,"2,187",,"3,731",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,51,Who are female,72.5%,66.3%,,59.4%,,63.2%,,65.4%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,52,Who are married,67.2%,53.6%,,50.7%,,71.1%,,67.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,52.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,52.5,SCHOOL ENROLLMENT,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,53,Population 3 years and over enrolled in school,"61,274","63,665",,"72,637",*,"74,577",*,"77,680",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,54,"Nursery school, preschool",4.9%,5.1%,,5.4%,,5.1%,,5.6%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,55,Kindergarten,5.3%,3.0%,*,2.7%,*,3.5%,,3.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,56,Elementary school (grades 1-8),38.1%,36.2%,,40.3%,,41.2%,,40.8%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,57,High school (grades 9-12),20.0%,25.1%,*,21.1%,,21.8%,,22.0%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,58,College or graduate school,31.8%,30.6%,,30.5%,,28.2%,,28.6%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,58.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,58.5,EDUCATIONAL ATTAINMENT,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,59,Population 25 years and over,"210,711","212,209",,"217,527",*,"217,353",*,"216,810",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,60,Less than 9th grade,20.0%,20.7%,,20.0%,,23.2%,*,21.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,61,"9th to 12th grade, no diploma",9.1%,9.4%,,9.6%,,9.6%,,10.3%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,62,High school graduate (includes equivalency),29.0%,28.3%,,26.4%,,28.7%,,28.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,63,"Some college, no degree",9.9%,10.8%,,12.4%,*,12.0%,*,11.9%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,64,Associate's degree,9.5%,10.6%,,9.5%,,8.7%,,8.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,65,Bachelor's degree,16.9%,14.5%,,17.3%,,12.7%,*,15.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,66,Graduate or professional degree,5.5%,5.6%,,4.8%,,5.0%,,5.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,66.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,67,High school graduate or higher,70.9%,69.8%,,70.4%,,67.3%,*,68.7%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,68,Bachelor's degree or higher,22.5%,20.1%,,22.1%,,17.8%,*,20.4%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,68.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,68.5,VETERAN STATUS,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,69,Civilian population 18 years and over,"239,039","240,653",,"246,303",*,"246,981",*,"248,112",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,70,Civilian veterans,2.7%,2.7%,,2.7%,,2.1%,,2.7%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,70.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,71,Total Civilian Noninstitutionalized Population,"287,402","291,015",,"304,409",*,"307,328",*,"310,400",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,72,With a disability,23.5%,22.5%,,22.2%,,23.8%,,23.6%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,72.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,73,Under 18 years,"49,472","52,234",*,"59,484",*,"62,517",*,"64,953",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,74,With a disability,3.6%,4.9%,,4.2%,,6.8%,*,7.2%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,74.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,75,18 to 64 years,"176,039","177,910",,"184,623",*,"186,780",*,"188,090",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,76,With a disability,17.7%,17.8%,,18.9%,,20.4%,*,20.4%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,76.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,77,65 years and over,"61,891","60,871",,"60,302",,"58,031",*,"57,357",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,78,With a disability,56.1%,51.3%,,50.0%,*,53.3%,,52.3%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,78.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,78.5,RESIDENCE 1 YEAR AGO,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,79,Population 1 year and over,"287,048","290,814",,"304,072",*,"307,340",*,"311,445",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,80,Same house,96.6%,93.9%,*,96.4%,,94.6%,*,93.5%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,81,Different house in Puerto Rico or the U.S.,3.2%,6.0%,*,3.6%,,5.4%,*,6.3%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,82,In Puerto Rico,2.5%,5.3%,*,3.1%,,4.5%,*,5.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,83,Same municipio,1.7%,3.5%,*,2.1%,,3.7%,*,3.5%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,84,Different municipio,0.8%,1.7%,*,1.0%,,0.8%,,2.4%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,85,In the United States,0.8%,0.7%,,0.5%,,0.9%,,0.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,86,Elsewhere,0.1%,0.1%,,0.0%,,0.0%,,0.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,86.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,86.5,PLACE OF BIRTH,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,87,Total population,"288,877","292,919",,"306,000",*,"309,764",*,"313,209",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,88,Native,98.9%,99.4%,,98.9%,,99.1%,,98.8%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,89,Born in Puerto Rico or the United States,98.9%,99.1%,,98.6%,,98.8%,,98.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,90,In Puerto Rico,92.8%,91.4%,,91.6%,,92.2%,,91.9%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,91,In the United States,6.1%,7.7%,*,7.0%,,6.7%,,6.6%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,92,"Born in U.S. Island Areas, or born abroad of American parents",0.0%,0.3%,*,0.3%,*,0.2%,*,0.3%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,93,Foreign born,1.1%,0.6%,,1.1%,,0.9%,,1.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,93.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,93.5,U.S. CITIZENSHIP STATUS,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,94,Foreign-born population,"3,174","1,900",,"3,291",,"2,888",,"3,754",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,95,Naturalized U.S. citizen,48.2%,43.4%,,29.5%,,51.4%,,33.0%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,96,Not a U.S. citizen,51.8%,56.6%,,70.5%,,48.6%,,67.0%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,96.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,96.5,YEAR OF ENTRY,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,97,Population born outside Puerto Rico,"20,866","25,288",*,"25,780",*,"24,268",,"25,480",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,97.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,98,Native,"17,692","23,388",*,"22,489",*,"21,380",,"21,726",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,99,Entered 2010 or later,21.6%,24.9%,,15.4%,,15.8%,,12.3%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,100,Entered before 2010,78.4%,75.1%,,84.6%,,84.2%,,87.7%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,100.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,101,Foreign born,"3,174","1,900",,"3,291",,"2,888",,"3,754",
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,102,Entered 2010 or later,43.8%,27.6%,,37.7%,,16.0%,*,18.4%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,103,Entered before 2010,56.2%,72.4%,,62.3%,,84.0%,*,81.6%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,103.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,103.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,104,"Foreign-born population, excluding population born at sea",N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,105,Europe,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,106,Asia,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,107,Africa,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,108,Oceania,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,109,Latin America,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,110,Northern America,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,110.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,110.5,LANGUAGE SPOKEN AT HOME,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,111,Population 5 years and over,"278,245","282,912",*,"293,753",*,"296,286",*,"298,952",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,112,English only,5.6%,3.4%,*,3.9%,*,4.5%,,4.8%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,113,Language other than English,94.4%,96.6%,*,96.1%,*,95.5%,,95.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,114,"Speak English less than ""very well""",77.1%,81.4%,*,79.3%,,77.4%,,79.4%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,115,Spanish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,116,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,117,Other Indo-European languages,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,118,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,119,Asian and Pacific Islander languages,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,120,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,121,Other languages,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,122,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,122.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,122.5,ANCESTRY,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,123,Total population,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,124,American,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,125,Arab,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,126,Czech,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,127,Danish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,128,Dutch,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,129,English,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,130,French (except Basque),N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,131,French Canadian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,132,German,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,133,Greek,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,134,Hungarian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,135,Irish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,136,Italian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,137,Lithuanian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,138,Norwegian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,139,Polish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,140,Portuguese,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,141,Russian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,142,Scotch-Irish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,143,Scottish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,144,Slovak,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,145,Subsaharan African,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,146,Swedish,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,147,Swiss,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,148,Ukrainian,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,149,Welsh,N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,150,West Indian (excluding Hispanic origin groups),N,N,,N,,N,,N,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,150.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,150.5,COMPUTERS AND INTERNET USE,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,151,Total households,"101,568","109,531",*,"112,215",*,"110,316",*,(X),
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,152,With a computer,65.4%,64.7%,,64.5%,,61.9%,*,(X),
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,153,With a broadband Internet subscription,50.0%,51.7%,,53.1%,,53.2%,,(X),
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,1,Total households,"65,208","64,093",,"68,855",*,"66,520",,"66,729",
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,2,Married-couple family,41.8%,44.0%,,42.3%,,42.1%,,44.8%,
CP02PR,31000US11640,"Arecibo, PR Metro Area",1,3,With own children of the householder under 18 years,12.7%,13.1%,,11.6%,,11.6%,,13.9%,
