TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,19,Householder,39.7%,37.3%,,39.8%,,37.6%,,35.2%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,20,Spouse,14.0%,14.9%,,15.4%,,14.6%,,15.4%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,21,Unmarried partner,4.6%,3.3%,,3.8%,,2.6%,*,2.2%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,22,Child,31.1%,34.8%,*,30.6%,,33.9%,,36.7%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,23,Other relatives,9.3%,9.2%,,9.9%,,10.0%,,9.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,24,Other nonrelatives,1.3%,0.4%,,0.5%,,1.2%,,0.8%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,24.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,24.5,MARITAL STATUS,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,25,Males 15 years and over,"33,211","33,204",c,"34,518",c,"35,151",c,"35,528",c
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,26,Never married,42.2%,41.9%,,35.5%,*,40.8%,,44.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,27,"Now married, except separated",35.4%,38.3%,,45.8%,*,39.6%,,40.4%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,28,Separated,2.2%,1.2%,,2.8%,,2.6%,,2.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,29,Widowed,3.6%,3.0%,,3.6%,,3.9%,,4.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,30,Divorced,16.5%,15.6%,,12.3%,,13.1%,,8.4%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,30.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,31,Females 15 years and over,"37,376","37,207",c,"38,652",c,"39,209",c,"39,603",c
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,32,Never married,31.9%,30.8%,,32.9%,,30.4%,,35.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,33,"Now married, except separated",33.3%,35.7%,,34.5%,,36.6%,,35.9%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,34,Separated,3.5%,2.1%,,2.8%,,2.4%,,1.7%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,35,Widowed,12.0%,13.9%,,14.8%,,14.2%,,11.3%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,36,Divorced,19.3%,17.5%,,14.9%,,16.4%,,15.9%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,36.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,36.5,FERTILITY,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,37,Number of women 15 to 50 years old who had a birth in the past 12 months,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,38,"Unmarried women (widowed, divorced, and never married)",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,39,"Per 1,000 unmarried women",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,40,"Per 1,000 women 15 to 50 years old",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,41,"Per 1,000 women 15 to 19 years old",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,42,"Per 1,000 women 20 to 34 years old",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,43,"Per 1,000 women 35 to 50 years old",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,43.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,43.5,GRANDPARENTS,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,44,Number of grandparents living with own grandchildren under 18 years,N,N,,N,,"2,135",,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,45,Grandparents responsible for grandchildren,N,N,,N,,47.7%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,45.9,Years responsible for grandchildren,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,46,Less than 1 year,N,N,,N,,0.0%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,47,1 or 2 years,N,N,,N,,6.8%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,48,3 or 4 years,N,N,,N,,3.8%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,49,5 or more years,N,N,,N,,37.0%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,49.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,50,Number of grandparents responsible for own grandchildren under 18 years,N,N,,N,,"1,018",,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,51,Who are female,N,N,,N,,57.1%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,52,Who are married,N,N,,N,,81.8%,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,52.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,52.5,SCHOOL ENROLLMENT,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,53,Population 3 years and over enrolled in school,"18,758","17,228",*,"19,959",,"22,429",*,"21,384",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,54,"Nursery school, preschool",7.8%,6.8%,,6.3%,,7.6%,,3.0%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,55,Kindergarten,2.0%,3.5%,,7.6%,*,4.1%,,3.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,56,Elementary school (grades 1-8),38.1%,40.4%,,34.2%,,35.1%,,39.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,57,High school (grades 9-12),20.3%,21.6%,,20.8%,,20.3%,,24.8%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,58,College or graduate school,31.8%,27.6%,,31.1%,,33.0%,,29.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,58.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,58.5,EDUCATIONAL ATTAINMENT,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,59,Population 25 years and over,"59,926","59,596",c,"61,543",c,"62,185",c,"62,535",c
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,60,Less than 9th grade,12.9%,12.2%,,16.8%,*,14.8%,,17.2%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,61,"9th to 12th grade, no diploma",7.2%,11.0%,*,6.9%,,9.9%,,7.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,62,High school graduate (includes equivalency),31.9%,29.4%,,26.1%,*,30.3%,,30.8%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,63,"Some college, no degree",11.8%,12.7%,,15.5%,,13.3%,,15.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,64,Associate's degree,10.8%,10.3%,,10.0%,,12.2%,,8.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,65,Bachelor's degree,18.8%,18.8%,,18.5%,,15.2%,,17.3%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,66,Graduate or professional degree,6.6%,5.7%,,6.3%,,4.4%,,3.9%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,66.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,67,High school graduate or higher,79.8%,76.7%,,76.3%,,75.4%,*,75.2%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,68,Bachelor's degree or higher,25.3%,24.4%,,24.8%,,19.6%,*,21.3%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,68.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,68.5,VETERAN STATUS,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,69,Civilian population 18 years and over,"67,637","67,314",*,"69,524",*,"70,767",*,"71,451",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,70,Civilian veterans,2.8%,2.9%,,2.5%,,3.4%,,3.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,70.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,70.5,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,71,Total Civilian Noninstitutionalized Population,"81,415","81,539",,"85,131",*,"87,367",*,"88,823",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,72,With a disability,20.1%,20.5%,,23.5%,*,18.1%,,23.2%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,72.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,73,Under 18 years,"14,301","14,772",*,"16,319",*,"17,144",*,"18,191",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,74,With a disability,7.2%,2.9%,*,9.4%,,4.3%,,8.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,74.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,75,18 to 64 years,"48,939","48,839",,"50,810",*,"52,416",*,"53,268",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,76,With a disability,15.3%,17.8%,,18.1%,,14.0%,,19.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,76.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,77,65 years and over,"18,175","17,928",*,"18,002",,"17,807",*,"17,364",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,78,With a disability,43.2%,42.1%,,51.7%,,43.7%,,51.9%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,78.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,78.5,RESIDENCE 1 YEAR AGO,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,79,Population 1 year and over,"81,732","81,175",*,"85,353",*,"87,267",*,"88,839",*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,80,Same house,90.5%,90.0%,,95.4%,*,93.8%,*,92.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,81,Different house in Puerto Rico or the U.S.,9.3%,9.7%,,4.4%,*,6.2%,*,7.9%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,82,In Puerto Rico,8.6%,9.0%,,4.1%,*,5.2%,*,7.4%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,83,Same municipio,6.1%,6.7%,,2.5%,*,3.5%,*,4.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,84,Different municipio,2.5%,2.2%,,1.6%,,1.7%,,3.3%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,85,In the United States,0.7%,0.7%,,0.4%,,1.0%,,0.5%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,86,Elsewhere,0.2%,0.3%,,0.1%,,0.0%,,0.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,86.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,86.5,PLACE OF BIRTH,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,87,Total population,"81,966","82,114",c,"86,066",c,"87,939",c,"89,648",c
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,88,Native,98.9%,99.3%,,99.2%,,99.4%,,99.5%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,89,Born in Puerto Rico or the United States,98.4%,99.1%,,98.9%,,99.4%,*,99.5%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,90,In Puerto Rico,92.2%,92.5%,,95.9%,*,95.5%,*,94.8%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,91,In the United States,6.2%,6.5%,,3.0%,*,3.9%,*,4.7%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,92,"Born in U.S. Island Areas, or born abroad of American parents",0.5%,0.3%,,0.3%,,0.0%,,0.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,93,Foreign born,1.1%,0.7%,,0.8%,,0.6%,,0.5%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,93.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,93.5,U.S. CITIZENSHIP STATUS,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,94,Foreign-born population,908,549,,723,,505,,470,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,95,Naturalized U.S. citizen,61.8%,84.0%,,52.7%,,46.5%,,19.4%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,96,Not a U.S. citizen,38.2%,16.0%,,47.3%,,53.5%,,80.6%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,96.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,96.5,YEAR OF ENTRY,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,97,Population born outside Puerto Rico,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,97.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,98,Native,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,99,Entered 2010 or later,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,100,Entered before 2010,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,100.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,101,Foreign born,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,102,Entered 2010 or later,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,103,Entered before 2010,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,103.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,103.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,104,"Foreign-born population, excluding population born at sea",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,105,Europe,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,106,Asia,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,107,Africa,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,108,Oceania,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,109,Latin America,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,110,Northern America,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,110.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,110.5,LANGUAGE SPOKEN AT HOME,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,111,Population 5 years and over,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,112,English only,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,113,Language other than English,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,114,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,115,Spanish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,116,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,117,Other Indo-European languages,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,118,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,119,Asian and Pacific Islander languages,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,120,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,121,Other languages,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,122,"Speak English less than ""very well""",N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,122.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,122.5,ANCESTRY,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,123,Total population,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,124,American,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,125,Arab,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,126,Czech,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,127,Danish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,128,Dutch,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,129,English,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,130,French (except Basque),N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,131,French Canadian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,132,German,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,133,Greek,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,134,Hungarian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,135,Irish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,136,Italian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,137,Lithuanian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,138,Norwegian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,139,Polish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,140,Portuguese,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,141,Russian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,142,Scotch-Irish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,143,Scottish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,144,Slovak,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,145,Subsaharan African,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,146,Swedish,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,147,Swiss,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,148,Ukrainian,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,149,Welsh,N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,150,West Indian (excluding Hispanic origin groups),N,N,,N,,N,,N,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,150.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,150.5,COMPUTERS AND INTERNET USE,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,151,Total households,"32,090","30,206",,"33,702",,"32,650",,(X),
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,152,With a computer,78.6%,70.1%,*,69.7%,*,62.5%,*,(X),
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,153,With a broadband Internet subscription,72.6%,65.2%,*,60.6%,*,49.5%,*,(X),
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,1,Total households,"68,980","64,932",*,"63,750",*,"70,124",,"70,419",
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,2,Married-couple family,36.8%,36.5%,,38.6%,,36.8%,,37.3%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,3,With own children of the householder under 18 years,10.1%,10.1%,,10.0%,,10.3%,,12.6%,*
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,4,Cohabiting couple household,7.4%,7.3%,,7.5%,,6.5%,,7.8%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,5,With own children of the householder under 18 years,3.1%,3.2%,,3.8%,,2.9%,,3.7%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,6,"Male householder, no spouse/partner present",15.6%,14.7%,,14.5%,,14.4%,,13.5%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,7,With own children of the householder under 18 years,0.8%,0.9%,,0.7%,,0.6%,,0.8%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,8,Householder living alone,10.6%,11.3%,,10.5%,,10.6%,,8.1%,*
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,9,65 years and over,4.1%,4.6%,,3.4%,,4.1%,,3.2%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,10,"Female householder, no spouse/partner present",40.2%,41.5%,,39.4%,,42.3%,,41.4%,
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,11,With own children of the householder under 18 years,8.2%,8.6%,,9.3%,,11.3%,*,10.4%,*
CP02PR,05000US72021,"Bayamón Municipio, Puerto Rico",1,12,Householder living alone,17.2%,18.8%,,15.9%,,17.6%,,17.0%,
